Index,Variant,"Region, subregion, country or area *",Notes,Country code,Parent code,1990,1995,2000,2005,2010,2015,2019,2020
275,Estimates,Austria,,40,926,7724,7990,8069,8254,8410,8679,8955,9006
276,Estimates,Belgium,,56,926,10007,10186,10282,10547,10939,11288,11539,11590
277,Estimates,France,33,250,926,56667,57802,59015,61120,62880,64453,65130,65274
278,Estimates,Germany,,276,926,79054,81139,81401,81603,80827,81787,83517,83784
279,Estimates,Liechtenstein,,438,926,29,31,33,35,36,37,38,38
280,Estimates,Luxembourg,,442,926,382,408,436,458,508,567,616,626
281,Estimates,Monaco,,492,926,29,31,32,34,36,38,39,39
282,Estimates,Netherlands,34,528,926,14965,15468,15926,16367,16683,16938,17097,17135
283,Estimates,Switzerland,,756,926,6653,6996,7144,7387,7809,8297,8591,8655
284,Estimates,NORTHERN AMERICA,,918,1829,279785,294454,312427,327287,343287,357031,366601,368870
285,Estimates,Bermuda,14,60,918,62,63,65,66,65,64,63,62
286,Estimates,Canada,,124,918,27541,29164,30588,32164,34148,36027,37411,37742
287,Estimates,Greenland,26,304,918,56,56,56,57,57,56,57,57
288,Estimates,Saint Pierre and Miquelon,2,666,918,6,6,6,6,6,6,6,6
289,Estimates,United States of America,35,840,918,252120,265164,281711,294994,309011,320878,329065,331003
